Question	Answer
Would you like to come around for dinner?	That sounds lovely.
Are you divorced?	I've never been married.
Are you in to mystery books?	I prefer non fiction.
Are you still engaged?	She broke off our engagement last month.
Would you go to a metal show?	I think the energy at a metal show would be crazy cool.
Is your job close to home?	I have a long commute.
Do you prefer to hold a book?	I prefer an E-reader.
Want to lend a self help book?	of course that's fine
Chilly tonight isn't it?	It's January, so that makes sense.
Are you going to a show this weekend?	I don't have a ticket
Can you eat any type of food?	I am a pescatarian.
Would you like to go to the movies?	I need to see some Oscar nominated movies.
Have you been to the new bar in the neighborhood?	I just saw an ad for that place, but I'm not sure where exactly it is.
Are you a kind ?	I do my best to be.
Do you have to do heavy-lifting?	I work at a desk, so no lifting involved.
Are you happy?	When I'm with family and friends.
Have any weekend plans?	I've got nothing on my calendar.
Are you new in the neighborhood?	We've been here 2 years now.
Are you a fan of classics?	I prefer contemporary books.
Are you doing something fun this weekend?	We're going to a spa.
Are you available to move in April?	I won't be able to move until July.
Are you thinking of moving soon?	As soon as possible
Do you like books about astrology?	They seem dated now that the astrological charts have been revised.
Have a nice house yet?	We just bought one down the road from here.
Do you like to swim?	I swim on a weekly basis.
Do you enjoy your current job?	It's been a good learning experience.
Do you like rock?	I only like classic rock.
Are you still into sci fi movies?	I'm not a fan anymore
Is the beach a place you like to go?	I love the outdoors
Do you spend a lot on food?	With four kids I do.
Have you heard of the Father Brown mysteries?	I am not familiar.
Are you a fan of classic literature?	I wasn't very interested in the ones we read in school.
Have you been to ACL Festival?	I plan to go for the first time this year.
Is the pay good?	I have a great wage.
Have you decided which neighborhood you want to buy in?	I'm still deciding.
Are you allergic to garlic?	I'm only allergic to wheat.
Do you like dogs?	I'm more of a cat person.
Would you live there again if you had the chance?	I have no desire to move back.
Do you like pop music?	I especially enjoyed Taylor Swift's new album.
Did you transfer for work?	I moved to be closer to family.
Was your flight nonstop?	I had a two hour layover.
Do you like french fries?	They're a special treat.
Do you have any plans for this weekend?	I'm tacking tennis lessons.
Are you going to a show this weekend?	I may see that local band play at the cafe if I can make it.
Are you ready to have fun?	you bet I am
Have you talked to anyone else from our childhood?	I haven't for a number of years
Are you going to the gym?	I went yesterday.
Are you lactose intolerant	I can eat anything,
Are you planning on moving there soon?	I hope to be there by this fall.
Are you into novels with a complicated plot?	Plot twists make most books more enjoyable.
Are you getting a takeaway tonight?	If there are specials!
Do you like going to baseball games?	When there isn't a big crowd.
D you have plans for later?	Probably just going to binge watch something.
Are you still in touch with anyone from the neighbourhood?	I meet up with a few of them at least once a year.
Have you heard the new Drake album yet?	I haven't heard it yet
Have you listened to Tame Impala?	That doesn't ring a bell.
Are your brothers and sisters nearby?	they are all over the place
Do you sing at karaoke bars?	No one will get me to sing in front of a crowd.
Have you lived in the building long?	About a month now.
Is your new job going well?	I love it so far
Would you be interested in cultural events in the area?	It would depend what they are
Are you going to login to the all-hands meeting online?	I will later one
Who is your favorite rock band?	I could never decide such a thing.
Are you offering the asking price?	I asked for a move-in discount.
Do you read any international books?	I do at times
Do you enjoy the job?	It's been a challenge.
Shall we go for a drink at a bar?	Maybe we could have dinner as well
Are you looking for something more mentally challenging?	I have been bored.
How are you getting home tonight?	I have my car with me.
Are there young families in this neighborhood?	There are quite a lot of young families in the neighbourhood
Do you like Hip Hop music?	I like some of the more recent trends, but can't stand the rap of the '90s.
Do you like mystery?	It too can be very boring.
Do you fancy a drink after your long journey?	That would be refreshing.
Do you like the changes around town?	I miss the old stuff.
Isn't it really expensive?	It is more than I thought
Do you like reading biographies?	I prefer high fantasy.
Do you have to work tomorrow?	The shift starts at 7.
Do you eat here often?	I think I have my own table in the corner.
Did you go to college abroad?	I went to Germany.
What is your favorite food?	Pizza is number one.
Have you been to the cinema lately?	It's been years since I've been out to see a movie at the theatre.
Do you need a yard?	It would be great to have somewhere to sit in summer, but not essential.
Are you a fan of Hip Hop?	I really dislike it.
Are you into art?	I love modern art.
Are you willing to visit a museum with me?	I'd like to see the new exhibit at the art museum.
Would you like to go to a classical concert?	I think i would
Do you like red meat?	I only eat white meat.
Do you have kids?	I just have the one
Are you going to drive your car to work?	That's the plan
Do you know much about this town?	Only what you've told me.
Should we go out for a hot meal tonight?	I'll take a rain check.
Want to go to the cinema?	I would prefer to watch Netflix.
Where do you work?	At the post office.
Do your remember our block fondly?	I was really young when we lived here.
How are you getting home tonight?	I'm being driven home.
Do you enjoy travel?	I go to China every year.
Is it true you adopted four children?	I only have the one son.
Do you enjoy listening to classical music?	Only at amateur recitals.
I have tickets to an EDM music fest, does that sound like something you would want to do	What is EDM?
Would you drive 30 minutes to work?	It will be half that.
Are you into hiking?	I was never into hiking
Want to go to the farmer's market with me this weekend?	I need to pick up some onions.
Do you have Children?	We've got a bun in the oven.
Can you still do that funny thing with your tongue?	It's genetic, so I'll probably always be able to.
Are you trying to live in a specific neighborhood?	I haven't decided yet
Do you like art galleries and museums?	I can't think of a better Saturday.
